gps:true;id=latitude,type=0;id=longitude,type=0;id=speed,type=1;id=time,type=0;id=altitude,type=0;id=accuracy,type=0
cmdDesc:010D=Vehicle speed (Speed);UnitType=MPH;Unit=1
1558061122116;gps;43.50519333333333:-96.77089833333334:12.788123:1558061123000:437.0:1.7:12.6776085
1558061122300;010D;46.0
1558061122478;010D;46.0
1558061122749;010D;46.0
1558061123086;gps;43.50530833333334:-96.77089833333334:12.787416:1558061124000:436.7:1.7:12.920042
1558061123089;010D;46.0
1558061123378;010D;46.0
1558061123957;010D;46.0
1558061124070;gps;43.50542833333334:-96.77089833333334:13.343391:1558061125000:436.5:1.6:12.959162
1558061124227;010D;47.0
1558061124548;010D;47.0
1558061124901;010D;47.0
1558061125090;gps;43.50554833333334:-96.77090000000001:13.344069:1558061126000:436.4:1.6:13.061591
1558061125380;010D;47.0
1558061125588;010D;47.0
1558061125734;010D;47.0
1558061126027;010D;47.0
1558061126028;gps;43.505665:-96.77090333333332:12.975527:1558061127000:435.3:1.6:13.076518
1558061126560;010D;48.0
1558061126853;010D;48.0
1558061127079;gps;43.50578666666667:-96.77090333333332:13.528716:1558061128000:434.4:1.6:13.1650505
1558061127081;010D;48.0
1558061127386;010D;48.0
1558061127658;010D;48.0
1558061127978;010D;48.0
1558061128102;gps;43.50590999999999:-96.77090333333332:13.714041:1558061129000:433.7:1.7:13.386381
1558061128208;010D;48.0
1558061128531;010D;48.0
1558061128737;010D;48.0
1558061129047;gps;43.506033333333335:-96.77090500000001:13.7147:1558061130000:433.0:1.7:13.426015
1558061129050;010D;48.0
1558061129416;010D;48.0
